Datetime,Episode,Reward,Loss,Value_Loss
2023-10-07 22:20:23,1,-11.807500000000001,62.8532018661499,111.26825428009033
2023-10-07 22:20:23,2,-12.137500000000001,55.94684600830078,98.91865825653076
2023-10-07 22:20:23,3,-9.275,39.68305826187134,69.92328548431396
2023-10-07 22:20:24,4,-15.7975,83.6457290649414,149.72285079956055
2023-10-07 22:20:24,5,-11.870000000000001,56.277199506759644,100.24064779281616
2023-10-07 22:20:24,6,-12.0975,58.51534175872803,104.32256948947906
2023-10-07 22:20:24,7,-7.297500000000001,39.8950200676918,71.6785295009613
2023-10-07 22:20:25,8,-5.547500000000001,19.966104209423065,33.53986847400665
2023-10-07 22:20:25,9,-7.485000000000001,32.829805076122284,57.207099080085754
2023-10-07 22:20:25,10,-10.120000000000001,47.11360991001129,83.06503105163574
2023-10-07 22:20:26,11,-6.420000000000001,23.37490451335907,38.794153928756714
2023-10-07 22:20:26,12,-11.222500000000002,54.95957758277655,98.60668617486954
2023-10-07 22:20:26,13,-9.855,38.530946254730225,67.43394780158997
2023-10-07 22:20:26,14,-11.445,41.636313676834106,72.24461770057678
2023-10-07 22:20:27,15,-8.905000000000001,34.52880439162254,60.21437335014343
2023-10-07 22:20:27,16,-9.995000000000001,37.41328236460686,65.67133542895317
2023-10-07 22:20:27,17,-5.485,10.960335940122604,17.502370476722717
2023-10-07 22:20:27,18,-12.4325,45.97647714614868,79.71593189239502
2023-10-07 22:20:28,19,-8.965000000000002,26.993696451187134,45.71273922920227
2023-10-07 22:20:28,20,-7.282500000000001,20.383291095495224,35.39552563428879
2023-10-07 22:20:28,21,-10.895000000000001,38.05841779708862,66.51270389556885
2023-10-07 22:20:28,22,-4.130000000000002,6.657943308353424,11.849247694015503
2023-10-07 22:20:29,23,-10.285,39.53465282917023,68.79171127080917
2023-10-07 22:20:29,24,-8.3625,23.67173919081688,42.36914575099945
2023-10-07 22:20:29,25,-6.050000000000001,14.023419886827469,25.08772611618042
2023-10-07 22:20:29,26,-6.822500000000001,18.924737870693207,33.23449897766113
2023-10-07 22:20:30,27,-3.167500000000001,3.893464893102646,7.102483451366425
2023-10-07 22:20:30,28,-10.609999999999998,30.028661012649536,52.22568321228027
2023-10-07 22:20:30,29,-6.49,24.319268584251404,44.854442954063416
2023-10-07 22:20:30,30,-10.3,29.29114842414856,50.836804151535034
2023-10-07 22:20:31,31,-8.3475,21.480052828788757,37.4685263633728
2023-10-07 22:20:31,32,-11.532499999999999,29.823340892791748,50.51549053192139
2023-10-07 22:20:31,33,-6.080000000000001,9.636516571044922,17.265902757644653
2023-10-07 22:20:31,34,-9.902500000000002,22.961445748806,39.26827830076218
2023-10-07 22:20:32,35,-8.0525,15.595424979925156,27.44208723306656
2023-10-07 22:20:32,36,-3.7000000000000006,6.476813942193985,12.372040629386902
2023-10-07 22:20:32,37,-9.990000000000002,23.454853057861328,40.176976919174194
2023-10-07 22:20:32,38,-9.4725,21.636121213436127,37.83973979949951
2023-10-07 22:20:33,39,-7.82,16.37178087234497,28.519541025161743
2023-10-07 22:20:33,40,-6.3725000000000005,14.279975235462189,26.010413885116577
